ano,mes_num,mes_nome,segmento,faixa_motorizacao,quantidade_mes
2026,4,Abril,Com. Leves,De 1.0 Até 2.0,28923
2026,4,Abril,Com. Leves,Acima de 2.0,18171
2026,5,Maio,Autos,Até 1.0,128105
2026,5,Maio,Autos,De 1.0 Até 2.0,82307
2026,5,Maio,Autos,Acima de 2.0,3888
2026,5,Maio,Com. Leves,Até 1.0,3238
2026,5,Maio,Com. Leves,De 1.0 Até 2.0,27644
2026,5,Maio,Com. Leves,Acima de 2.0,18861
2026,6,Junho,Autos,Até 1.0,121748
2026,6,Junho,Autos,De 1.0 Até 2.0,86826
2026,6,Junho,Autos,Acima de 2.0,4328
2026,6,Junho,Com. Leves,Até 1.0,3088
2026,6,Junho,Com. Leves,De 1.0 Até 2.0,25608
2026,6,Junho,Com. Leves,Acima de 2.0,18869
2026,7,Julho,Autos,Até 1.0,123540
2026,7,Julho,Autos,De 1.0 Até 2.0,85127
2026,7,Julho,Autos,Acima de 2.0,4024
2026,7,Julho,Com. Leves,Até 1.0,3238
2026,7,Julho,Com. Leves,De 1.0 Até 2.0,30307
2026,7,Julho,Com. Leves,Acima de 2.0,19459
2026,8,Agosto,Autos,Até 1.0,126153
2026,8,Agosto,Autos,De 1.0 Até 2.0,83191
2026,8,Agosto,Autos,Acima de 2.0,3532
2026,8,Agosto,Com. Leves,Até 1.0,4326
2026,8,Agosto,Com. Leves,De 1.0 Até 2.0,27340
2026,8,Agosto,Com. Leves,Acima de 2.0,18512
