ano,mes_num,mes_nome,segmento,quantidade_mes
2024,4,Abril,Caminhões + Ônibus,12735
2024,4,Abril,Subtotal (A a D),220813
2024,4,Abril,Motos,170252
2024,4,Abril,Implementos Rodoviários,8019
2024,4,Abril,Outros,11446
2024,4,Abril,Total Geral,410530
2024,5,Maio,Com. Leves,39187
2024,5,Maio,Caminhões,9360
2024,5,Maio,Ônibus,1683
2024,5,Maio,Caminhões + Ônibus,11043
2024,5,Maio,Subtotal (A a D),194257
2024,5,Maio,Motos,164502
2024,5,Maio,Implementos Rodoviários,6808
2024,5,Maio,Total Geral,376568
2024,6,Junho,Autos,163808
2024,6,Junho,Com. Leves,38666
2024,6,Junho,Autos + Com. Leves,202474
2024,6,Junho,Caminhões,9663
2024,6,Junho,Ônibus,2152
2024,6,Junho,Caminhões + Ônibus,11815
2024,6,Junho,Subtotal (A a D),214289
2024,6,Junho,Motos,165855
2024,6,Junho,Implementos Rodoviários,7699
2024,6,Junho,Outros,12309
2024,6,Junho,Total Geral,400152
2024,7,Julho,Autos,178047
2024,7,Julho,Com. Leves,49253
2024,7,Julho,Autos + Com. Leves,227300
2024,7,Julho,Caminhões,11082
2024,7,Julho,Ônibus,2960
2024,7,Julho,Caminhões + Ônibus,14042
2024,7,Julho,Subtotal (A a D),241342
2024,7,Julho,Motos,156893
2024,7,Julho,Implementos Rodoviários,7858
2024,7,Julho,Outros,13736
2024,7,Julho,Total Geral,419829
2024,8,Agosto,Autos,170995
2024,8,Agosto,Com. Leves,52201
2024,8,Agosto,Autos + Com. Leves,223196
2024,8,Agosto,Caminhões,11303
2024,8,Agosto,Ônibus,2885
2024,8,Agosto,Caminhões + Ônibus,14188
2024,8,Agosto,Subtotal (A a D),237384
2024,8,Agosto,Motos,163882
2024,8,Agosto,Implementos Rodoviários,7685
2024,8,Agosto,Outros,13918
2024,8,Agosto,Total Geral,422869
2024,9,Setembro,Autos,171658
2024,9,Setembro,Com. Leves,51028
2024,9,Setembro,Autos + Com. Leves,222686
2024,9,Setembro,Caminhões,11218
2024,9,Setembro,Ônibus,2449
2024,9,Setembro,Caminhões + Ônibus,13667
2024,9,Setembro,Subtotal (A a D),236353
2024,9,Setembro,Motos,156607
2024,9,Setembro,Implementos Rodoviários,7238
2024,9,Setembro,Outros,12883
2024,9,Setembro,Total Geral,413081
2024,10,Outubro,Autos,195201
2024,10,Outubro,Com. Leves,54695
2024,10,Outubro,Autos + Com. Leves,249896
2024,10,Outubro,Caminhões,11901
2024,10,Outubro,Ônibus,3139
2024,10,Outubro,Caminhões + Ônibus,15040
2024,10,Outubro,Subtotal (A a D),264936
2024,10,Outubro,Motos,166722
2024,10,Outubro,Implementos Rodoviários,7687
2024,10,Outubro,Outros,13477
2024,11,Novembro,Autos,193730
2024,11,Novembro,Com. Leves,47461
2024,11,Novembro,Autos + Com. Leves,241191
2024,11,Novembro,Caminhões,10002
2024,11,Novembro,Ônibus,2309
2024,11,Novembro,Caminhões + Ônibus,12311
2024,11,Novembro,Subtotal (A a D),253502
2024,11,Novembro,Motos,147018
2024,11,Novembro,Implementos Rodoviários,6682
2024,11,Novembro,Outros,12387
2024,12,Dezembro,Autos,189862
2024,12,Dezembro,Com. Leves,53829
2024,12,Dezembro,Autos + Com. Leves,243691
2024,12,Dezembro,Caminhões,11159
2024,12,Dezembro,Ônibus,2594
2024,12,Dezembro,Caminhões + Ônibus,13753
2024,12,Dezembro,Subtotal (A a D),257444
2024,12,Dezembro,Motos,151925
2024,12,Dezembro,Implementos Rodoviários,6820
2024,12,Dezembro,Outros,12226
2025,1,Janeiro,Autos,123359
2025,1,Janeiro,Com. Leves,36487
2025,1,Janeiro,Autos + Com. Leves,159846
2025,1,Janeiro,Caminhões,9170
2025,1,Janeiro,Ônibus,2191
2025,1,Janeiro,Caminhões + Ônibus,11361
2025,1,Janeiro,Subtotal (A a D),171207
2025,1,Janeiro,Motos,151954
2025,1,Janeiro,Implementos Rodoviários,6203
2025,1,Janeiro,Outros,12052
2025,2,Fevereiro,Autos,134772
2025,2,Fevereiro,Com. Leves,39037
2025,2,Fevereiro,Autos + Com. Leves,173809
2025,2,Fevereiro,Caminhões,8751
2025,2,Fevereiro,Ônibus,2375
2025,2,Fevereiro,Caminhões + Ônibus,11126
2025,2,Fevereiro,Subtotal (A a D),184935
2025,2,Fevereiro,Motos,155954
2025,2,Fevereiro,Implementos Rodoviários,6194
2025,2,Fevereiro,Outros,12982
2025,2,Fevereiro,Total Geral,360065
2025,3,Março,Autos,141542
2025,3,Março,Com. Leves,42504
2025,3,Março,Autos + Com. Leves,184046
2025,3,Março,Caminhões,9201
2025,3,Março,Ônibus,2230
2025,3,Março,Caminhões + Ônibus,11431
2025,3,Março,Subtotal (A a D),195477
2025,3,Março,Motos,166010
2025,3,Março,Implementos Rodoviários,6026
2025,3,Março,Outros,11848
2025,3,Março,Total Geral,379361
2025,4,Abril,Autos,152267
2025,4,Abril,Com. Leves,44786
