ano,mes_num,mes_nome,segmento,tipo_venda,rank,fabricante,quantidade_mes,participacao_pct
2022,3,Março,Com. Leves,Total,10,CITROEN,294,1.1
2022,3,Março,Autos,Total,11,PEUGEOT,2760,2.55
2022,3,Março,Com. Leves,Total,11,IVECO,281,1.05
2022,3,Março,Autos,Total,12,BMW,1234,1.14
2022,3,Março,Com. Leves,Total,12,VW/MAN,216,0.81
2022,3,Março,Autos,Total,13,CITROEN,883,0.82
2022,3,Março,Com. Leves,Total,13,KIA,182,0.68
2022,3,Março,Autos,Total,14,MITSUBISHI,636,0.59
2022,3,Março,Com. Leves,Total,14,HYUNDAI,146,0.55
2022,3,Março,Autos,Total,15,M.BENZ,459,0.42
2022,3,Março,Com. Leves,Total,15,M.BENZ,118,0.44
2022,3,Março,Autos,Total,16,PORSCHE,380,0.35
2022,3,Março,Com. Leves,Total,16,RAM,87,0.33
2022,3,Março,Autos,Total,17,LAND ROVER,337,0.31
2022,3,Março,Com. Leves,Total,17,EFFA,80,0.3
2022,3,Março,Autos,Total,18,VOLVO,295,0.27
2022,3,Março,Com. Leves,Total,18,FOTON,6,0.02
2022,3,Março,Autos,Total,19,AUDI,278,0.26
2022,3,Março,Com. Leves,Total,19,JAC,6,0.02
2022,3,Março,Autos,Total,20,FORD,251,0.23
2022,3,Março,Com. Leves,Total,20,BYD,3,0.01
2022,3,Março,Autos,Total,21,KIA,235,0.22
2022,3,Março,Com. Leves,Total,21,WILLYS,1,0
2022,3,Março,Caminhões,Total,1,VW/MAN,3165,31.23
2022,3,Março,Ônibus,Total,1,M.BENZ,1063,59.75
2022,3,Março,Caminhões,Total,2,M.BENZ,2852,28.15
2022,3,Março,Ônibus,Total,2,VW/MAN,293,16.47
2022,3,Março,Caminhões,Total,3,VOLVO,1971,19.45
2022,3,Março,Ônibus,Total,3,MARCOPOLO,288,16.19
2022,3,Março,Caminhões,Total,4,IVECO,956,9.43
2022,3,Março,Ônibus,Total,4,IVECO,41,2.3
2022,3,Março,Caminhões,Total,5,SCANIA,648,6.39
2022,3,Março,Ônibus,Total,5,VOLVO,38,2.14
2022,3,Março,Caminhões,Total,6,DAF,473,4.67
2022,3,Março,Ônibus,Total,6,FORD,37,2.08
2022,3,Março,Caminhões,Total,7,JAC,35,0.35
2022,3,Março,Ônibus,Total,7,SCANIA,13,0.73
2022,3,Março,Caminhões,Total,8,HYUNDAI,14,0.14
2022,3,Março,Ônibus,Total,8,AGRALE,5,0.28
2022,3,Março,Caminhões,Total,9,AGRALE,7,0.07
2022,3,Março,Ônibus,Total,9,BYD,1,0.06
2022,3,Março,Caminhões,Total,10,FORD,4,0.04
2022,3,Março,Caminhões,Total,11,FOTON,2,0.02
2022,3,Março,Caminhões,Total,12,BYD,1,0.01
2022,3,Março,Caminhões,Total,13,DODGE,1,0.01
2022,3,Março,Motos,Total,1,HONDA,82554,74.99
2022,3,Março,Motos,Total,2,YAMAHA,19396,17.62
2022,3,Março,Motos,Total,3,SHINERAY,1857,1.69
2022,3,Março,Motos,Total,4,BMW,986,0.9
2022,3,Março,Motos,Total,5,KAWASAKI,797,0.72
2022,3,Março,Motos,Total,6,ROYAL ENFIELD,795,0.72
2022,3,Março,Motos,Total,7,HAOJUE,705,0.64
2022,3,Março,Motos,Total,8,AVELLOZ,673,0.61
2022,3,Março,Motos,Total,9,DAFRA,553,0.5
2022,3,Março,Motos,Total,10,VOLTZ,514,0.47
2022,3,Março,Motos,Total,11,TRIUMPH,371,0.34
2022,3,Março,Motos,Total,12,H.DAVIDSON,180,0.16
2022,3,Março,Motos,Total,13,SUZUKI,149,0.14
2022,3,Março,Motos,Total,14,DUCATI,90,0.08
2022,3,Março,Motos,Total,15,SOUSA,59,0.05
2022,3,Março,Motos,Total,16,BULL,49,0.04
2022,3,Março,Motos,Total,17,KYMCO,39,0.04
2022,3,Março,Motos,Total,18,SUPER SOCO,32,0.03
2022,3,Março,Motos,Total,19,ATMAN,29,0.03
2022,3,Março,Motos,Total,20,TRAXX,28,0.03
2022,3,Março,Motos,Total,21,WUYANG,18,0.02
2022,4,Abril,Autos,Total,1,FIAT,20203,18.42
2022,4,Abril,Com. Leves,Total,1,FIAT,14166,53.14
2022,4,Abril,Autos,Total,2,GM,18492,16.86
2022,4,Abril,Com. Leves,Total,2,TOYOTA,4071,15.27
2022,4,Abril,Autos,Total,3,HYUNDAI,14017,12.78
2022,4,Abril,Com. Leves,Total,3,GM,2739,10.27
2022,4,Abril,Autos,Total,4,TOYOTA,12243,11.16
2022,4,Abril,Com. Leves,Total,4,FORD,1382,5.18
2022,4,Abril,Autos,Total,5,JEEP,10830,9.87
2022,4,Abril,Com. Leves,Total,5,RENAULT,1126,4.22
2022,4,Abril,Autos,Total,6,VW,9357,8.53
2022,4,Abril,Com. Leves,Total,6,MITSUBISHI,1055,3.96
2022,4,Abril,Autos,Total,7,RENAULT,7042,6.42
2022,4,Abril,Com. Leves,Total,7,IVECO,358,1.34
2022,4,Abril,Autos,Total,8,HONDA,4176,3.81
2022,4,Abril,Com. Leves,Total,8,NISSAN,338,1.27
2022,4,Abril,Autos,Total,9,CAOA CHERY,3259,2.97
2022,4,Abril,Com. Leves,Total,9,PEUGEOT,271,1.02
2022,4,Abril,Autos,Total,10,NISSAN,3066,2.8
2022,4,Abril,Com. Leves,Total,10,CITROEN,244,0.92
2022,4,Abril,Autos,Total,11,PEUGEOT,2099,1.91
2022,4,Abril,Com. Leves,Total,11,KIA,206,0.77
2022,4,Abril,Autos,Total,12,BMW,1108,1.01
2022,4,Abril,Com. Leves,Total,12,VW/MAN,176,0.66
2022,4,Abril,Autos,Total,13,MITSUBISHI,601,0.55
2022,4,Abril,Com. Leves,Total,13,VW,144,0.54
2022,4,Abril,Autos,Total,14,CITROEN,575,0.52
2022,4,Abril,Com. Leves,Total,14,M.BENZ,113,0.42
2022,4,Abril,Autos,Total,15,VOLVO,531,0.48
2022,4,Abril,Com. Leves,Total,15,RAM,90,0.34
2022,4,Abril,Autos,Total,16,M.BENZ,342,0.31
2022,4,Abril,Com. Leves,Total,16,HYUNDAI,81,0.3
2022,4,Abril,Autos,Total,17,PORSCHE,291,0.27
2022,4,Abril,Com. Leves,Total,17,EFFA,61,0.23
2022,4,Abril,Autos,Total,18,LAND ROVER,259,0.24
2022,4,Abril,Com. Leves,Total,18,FOTON,13,0.05
2022,4,Abril,Autos,Total,19,FORD,240,0.22
2022,4,Abril,Com. Leves,Total,19,BYD,12,0.05
2022,4,Abril,Autos,Total,20,AUDI,214,0.2
2022,4,Abril,Com. Leves,Total,20,JAC,8,0.03
2022,4,Abril,Autos,Total,21,KIA,204,0.19
2022,4,Abril,Com. Leves,Total,21,WILLYS,2,0.01
2022,4,Abril,Caminhões,Total,1,VW/MAN,2805,29.92
2022,4,Abril,Ônibus,Total,1,M.BENZ,799,52.53
2022,4,Abril,Caminhões,Total,2,M.BENZ,2491,26.57
2022,4,Abril,Ônibus,Total,2,MARCOPOLO,297,19.53
2022,4,Abril,Caminhões,Total,3,VOLVO,1842,19.65
2022,4,Abril,Ônibus,Total,3,VW/MAN,270,17.75
2022,4,Abril,Caminhões,Total,4,SCANIA,803,8.57
2022,4,Abril,Ônibus,Total,4,FORD,86,5.65
2022,4,Abril,Caminhões,Total,5,IVECO,791,8.44
2022,4,Abril,Ônibus,Total,5,IVECO,32,2.1
2022,4,Abril,Caminhões,Total,6,DAF,558,5.95
2022,4,Abril,Ônibus,Total,6,SCANIA,19,1.25
2022,4,Abril,Caminhões,Total,7,HYUNDAI,34,0.36
2022,4,Abril,Ônibus,Total,7,VOLVO,17,1.12
2022,4,Abril,Caminhões,Total,8,JAC,34,0.36
2022,4,Abril,Caminhões,Total,9,FOTON,7,0.07
2022,4,Abril,Caminhões,Total,10,FORD,3,0.03
2022,4,Abril,Caminhões,Total,11,AGRALE,2,0.02
2022,4,Abril,Caminhões,Total,12,BYD,1,0.01
2022,4,Abril,Motos,Total,1,HONDA,83239,77.26
2022,4,Abril,Motos,Total,2,YAMAHA,16687,15.49
2022,4,Abril,Motos,Total,3,SHINERAY,1834,1.7
2022,4,Abril,Motos,Total,4,BMW,903,0.84
2022,4,Abril,Motos,Total,5,AVELLOZ,744,0.69
2022,4,Abril,Motos,Total,6,ROYAL ENFIELD,729,0.68
2022,4,Abril,Motos,Total,7,KAWASAKI,694,0.64
2022,4,Abril,Motos,Total,8,HAOJUE,660,0.61
2022,4,Abril,Motos,Total,9,DAFRA,593,0.55
2022,4,Abril,Motos,Total,10,VOLTZ,471,0.44
2022,4,Abril,Motos,Total,11,TRIUMPH,389,0.36
2022,4,Abril,Motos,Total,12,H.DAVIDSON,195,0.18
2022,4,Abril,Motos,Total,13,DUCATI,110,0.1
2022,4,Abril,Motos,Total,14,SUZUKI,96,0.09
2022,4,Abril,Motos,Total,15,BULL,61,0.06
2022,4,Abril,Motos,Total,16,SOUSA,36,0.03
2022,4,Abril,Motos,Total,17,SUPER SOCO,31,0.03
2022,4,Abril,Motos,Total,18,KYMCO,25,0.02
2022,4,Abril,Motos,Total,19,TRAXX,23,0.02
2022,4,Abril,Motos,Total,20,ATMAN,19,0.02
2022,4,Abril,Motos,Total,21,VESPA,15,0.01
2022,5,Maio,Autos,Total,1,VW,22790,16.34
2022,5,Maio,Com. Leves,Total,1,FIAT,19231,54.41
2022,5,Maio,Autos,Total,2,GM,22640,16.23
2022,5,Maio,Com. Leves,Total,2,TOYOTA,4147,11.73
2022,5,Maio,Autos,Total,3,FIAT,19712,14.13
2022,5,Maio,Com. Leves,Total,3,GM,2720,7.7
2022,5,Maio,Autos,Total,4,HYUNDAI,19233,13.79
2022,5,Maio,Com. Leves,Total,4,MITSUBISHI,1819,5.15
2022,5,Maio,Autos,Total,5,TOYOTA,13218,9.48
2022,5,Maio,Com. Leves,Total,5,RENAULT,1555,4.4
2022,5,Maio,Autos,Total,6,JEEP,12825,9.2
2022,5,Maio,Com. Leves,Total,6,VW,1503,4.25
2022,5,Maio,Autos,Total,7,RENAULT,5727,4.11
2022,5,Maio,Com. Leves,Total,7,FORD,1398,3.96
2022,5,Maio,Autos,Total,8,NISSAN,5461,3.92
2022,5,Maio,Com. Leves,Total,8,NISSAN,721,2.04
2022,5,Maio,Autos,Total,9,HONDA,4244,3.04
2022,5,Maio,Com. Leves,Total,9,PEUGEOT,527,1.49
2022,5,Maio,Autos,Total,10,PEUGEOT,3925,2.81
2022,5,Maio,Com. Leves,Total,10,CITROEN,394,1.11
2022,5,Maio,Autos,Total,11,CAOA CHERY,3046,2.18
2022,5,Maio,Com. Leves,Total,11,IVECO,329,0.93
2022,5,Maio,Autos,Total,12,CITROEN,1592,1.14
2022,5,Maio,Com. Leves,Total,12,KIA,256,0.72
2022,5,Maio,Autos,Total,13,BMW,1293,0.93
2022,5,Maio,Com. Leves,Total,13,RAM,227,0.64
2022,5,Maio,Autos,Total,14,MITSUBISHI,893,0.64
2022,5,Maio,Com. Leves,Total,14,VW/MAN,189,0.53
2022,5,Maio,Autos,Total,15,VOLVO,582,0.42
2022,5,Maio,Com. Leves,Total,15,M.BENZ,116,0.33
2022,5,Maio,Autos,Total,16,M.BENZ,402,0.29
2022,5,Maio,Com. Leves,Total,16,EFFA,113,0.32
2022,5,Maio,Autos,Total,17,AUDI,381,0.27
2022,5,Maio,Com. Leves,Total,17,HYUNDAI,41,0.12
2022,5,Maio,Autos,Total,18,LAND ROVER,296,0.21
2022,5,Maio,Com. Leves,Total,18,FOTON,29,0.08
2022,5,Maio,Autos,Total,19,PORSCHE,262,0.19
2022,5,Maio,Com. Leves,Total,19,JAC,14,0.04
2022,5,Maio,Autos,Total,20,FORD,252,0.18
2022,5,Maio,Com. Leves,Total,20,BYD,8,0.02
2022,5,Maio,Autos,Total,21,KIA,158,0.11
2022,5,Maio,Com. Leves,Total,21,AGRALE,2,0.01
2022,5,Maio,Caminhões,Total,1,VW/MAN,3088,29.93
2022,5,Maio,Ônibus,Total,1,M.BENZ,1012,52.27
2022,5,Maio,Caminhões,Total,2,M.BENZ,2846,27.58
2022,5,Maio,Ônibus,Total,2,VW/MAN,407,21.02
2022,5,Maio,Caminhões,Total,3,VOLVO,1953,18.93
2022,5,Maio,Ônibus,Total,3,MARCOPOLO,255,13.17
2022,5,Maio,Caminhões,Total,4,IVECO,1068,10.35
2022,5,Maio,Ônibus,Total,4,FORD,144,7.44
2022,5,Maio,Caminhões,Total,5,SCANIA,729,7.06
2022,5,Maio,Ônibus,Total,5,VOLVO,60,3.1
2022,5,Maio,Caminhões,Total,6,DAF,563,5.46
2022,5,Maio,Ônibus,Total,6,IVECO,3,1.7
2022,5,Maio,Caminhões,Total,7,HYUNDAI,31,0.3
2022,5,Maio,Ônibus,Total,7,SCANIA,25,1.29
2022,5,Maio,Caminhões,Total,8,JAC,20,0.19
2022,5,Maio,Caminhões,Total,9,FOTON,9,0.09
